Date;Sales;cost_of_sales;quantity_sold;year;month_number;month_name;year_month;day_of_month;day_of_week;day_name;day_type;price_per_unit;cost_per_unit;gross_profit;gross_profit_percent;gross_profit_per_unit;gross_profit_per_unit_percent;average_unit_sales_price;rolling_average_price
2013/12/30 02:00;223937.967869726530;230079.621012448040;6827;2013;12;Dec;2013/12/01;30;2;Mon;Weekday;32.80;33.70;-6141.65;-2.74;-0.90;-2.74;37.07;33.18
2013/12/31 02:00;300345.484563985660;306986.120484283190;9268;2013;12;Dec;2013/12/01;31;3;Tue;Weekday;32.41;33.12;-6640.64;-2.21;-0.72;-2.21;37.07;33.24
2014/01/01 02:00;86782.467727417796;87986.318214449886;2678;2014;1;Jan;2014/01/01;1;4;Wed;Weekday;32.41;32.86;-1203.85;-1.39;-0.45;-1.39;37.07;33.28
2014/01/02 02:00;200173.116752677160;202881.177706232610;6175;2014;1;Jan;2014/01/01;2;5;Thu;Weekday;32.42;32.86;-2708.06;-1.35;-0.44;-1.35;37.07;33.33
2014/01/03 02:00;326906.074176330640;333806.291873354810;10084;2014;1;Jan;2014/01/01;3;6;Fri;Weekday;32.42;33.10;-6900.22;-2.11;-0.68;-2.11;37.07;33.37
2014/01/04 02:00;307043.935422161890;313652.348272363540;9470;2014;1;Jan;2014/01/01;4;7;Sat;Weekday;32.42;33.12;-6608.41;-2.15;-0.70;-2.15;37.07;33.40
2014/01/05 02:00;179188.884487809730;183083.284984026980;5524;2014;1;Jan;2014/01/01;5;1;Sun;Weekday;32.44;33.14;-3894.40;-2.17;-0.70;-2.17;37.07;33.44
2014/01/06 02:00;306351.950858991880;313446.068148843010;9448;2014;1;Jan;2014/01/01;6;2;Mon;Weekday;32.43;33.18;-7094.12;-2.32;-0.75;-2.32;37.07;33.47
2014/01/07 02:00;224020.409968478340;229533.973728379670;6911;2014;1;Jan;2014/01/01;7;3;Tue;Weekday;32.42;33.21;-5513.56;-2.46;-0.80;-2.46;37.07;33.48
2014/01/08 02:00;101836.402236237100;99381.967517224926;2990;2014;1;Jan;2014/01/01;8;4;Wed;Weekday;34.06;33.24;2454.43;2.41;0.82;2.41;37.07;33.51
2014/01/09 02:00;107804.304947231720;104816.458512552640;3159;2014;1;Jan;2014/01/01;9;5;Thu;Weekday;34.13;33.18;2987.85;2.77;0.95;2.77;37.07;33.54
2014/01/10 02:00;144829.956723930170;141333.996283492540;4246;2014;1;Jan;2014/01/01;10;6;Fri;Weekday;34.11;33.29;3495.96;2.41;0.82;2.41;37.07;33.56
2014/01/11 02:00;146571.482353240160;143179.669988392850;4297;2014;1;Jan;2014/01/01;11;7;Sat;Weekday;34.11;33.32;3391.81;2.31;0.79;2.31;37.07;33.58
2014/01/12 02:00;95422.372978317100;93126.147238344056;2796;2014;1;Jan;2014/01/01;12;1;Sun;Weekday;34.13;33.31;2296.23;2.41;0.82;2.41;37.07;33.60
2014/01/13 02:00;114883.173791156240;112186.308663052730;3369;2014;1;Jan;2014/01/01;13;2;Mon;Weekday;34.10;33.30;2696.87;2.35;0.80;2.35;37.07;33.62
2014/01/14 02:00;80090.800079892710;78096.760182251150;2348;2014;1;Jan;2014/01/01;14;3;Tue;Weekday;34.11;33.26;1994.04;2.49;0.85;2.49;37.07;33.64
2014/01/15 02:00;98945.371159077826;97159.002586869974;2903;2014;1;Jan;2014/01/01;15;4;Wed;Weekday;34.08;33.47;1786.37;1.81;0.62;1.81;37.07;33.68
2014/01/16 02:00;84904.901714107822;83350.433158824555;2491;2014;1;Jan;2014/01/01;16;5;Thu;Weekday;34.08;33.46;1554.47;1.83;0.62;1.83;37.07;33.74
2014/01/17 02:00;135460.619703985170;132703.335419771670;3968;2014;1;Jan;2014/01/01;17;6;Fri;Weekday;34.14;33.44;2757.28;2.04;0.69;2.04;37.07;33.80
2014/01/18 02:00;149925.749685775140;146928.411780892350;4393;2014;1;Jan;2014/01/01;18;7;Sat;Weekday;34.13;33.45;2997.34;2.00;0.68;2.00;37.07;33.85
2014/01/19 02:00;74297.307184182937;72782.284321402927;2176;2014;1;Jan;2014/01/01;19;1;Sun;Weekday;34.14;33.45;1515.02;2.04;0.70;2.04;37.07;33.91
2014/01/20 02:00;83356.424561202701;81789.136122352749;2443;2014;1;Jan;2014/01/01;20;2;Mon;Weekday;34.12;33.48;1567.29;1.88;0.64;1.88;37.07;33.97
2014/01/21 02:00;89922.014286172576;88388.916069159721;2638;2014;1;Jan;2014/01/01;21;3;Tue;Weekday;34.09;33.51;1533.10;1.70;0.58;1.70;37.07;33.97
2014/01/22 02:00;57806.302780099039;57157.282544092297;1704;2014;1;Jan;2014/01/01;22;4;Wed;Weekday;33.92;33.54;649.02;1.12;0.38;1.12;37.07;34.01
2014/01/23 02:00;63977.750348923553;62863.987239062990;1872;2014;1;Jan;2014/01/01;23;5;Thu;Weekday;34.18;33.58;1113.76;1.74;0.59;1.74;37.07;34.01
2014/01/24 02:00;116958.799847951970;114823.795223812670;3423;2014;1;Jan;2014/01/01;24;6;Fri;Weekday;34.17;33.54;2135.00;1.83;0.62;1.83;37.07;33.96
2014/01/25 02:00;155272.824805480170;152636.276562365940;4544;2014;1;Jan;2014/01/01;25;7;Sat;Weekday;34.17;33.59;2636.55;1.70;0.58;1.70;37.07;33.91
2014/01/26 02:00;82885.215909762715;81583.166949853185;2426;2014;1;Jan;2014/01/01;26;1;Sun;Weekday;34.17;33.63;1302.05;1.57;0.54;1.57;37.07;33.85
2014/01/27 02:00;72353.425882453303;71377.156455436343;2117;2014;1;Jan;2014/01/01;27;2;Mon;Weekday;34.18;33.72;976.27;1.35;0.46;1.35;37.07;33.80
2014/01/28 02:00;50415.903762389156;49769.098243003224;1476;2014;1;Jan;2014/01/01;28;3;Tue;Weekday;34.16;33.72;646.81;1.28;0.44;1.28;37.07;33.75
2014/01/29 02:00;67458.301891273790;66529.441996531445;1974;2014;1;Jan;2014/01/01;29;4;Wed;Weekday;34.17;33.70;928.86;1.38;0.47;1.38;37.07;33.69
2014/01/30 02:00;64640.369313193798;63757.839868452080;1892;2014;1;Jan;2014/01/01;30;5;Thu;Weekday;34.17;33.70;882.53;1.37;0.47;1.37;37.07;33.64
2014/01/31 02:00;137693.873500331390;135609.507582049670;4030;2014;1;Jan;2014/01/01;31;6;Fri;Weekday;34.17;33.65;2084.37;1.51;0.52;1.51;37.07;33.59
2014/02/01 02:00;181209.128481212600;178435.715345795940;5304;2014;2;Feb;2014/02/01;1;7;Sat;Weekday;34.16;33.64;2773.41;1.53;0.52;1.53;37.07;33.54
2014/02/02 02:00;113433.581045456970;111466.516847537250;3320;2014;2;Feb;2014/02/01;2;1;Sun;Weekday;34.17;33.57;1967.06;1.73;0.59;1.73;37.07;33.48
2014/02/03 02:00;143192.533356176370;140505.634723003230;4191;2014;2;Feb;2014/02/01;3;2;Mon;Weekday;34.17;33.53;2686.90;1.88;0.64;1.88;37.07;33.48
2014/02/04 02:00;130126.649892881370;128496.287701172700;3809;2014;2;Feb;2014/02/01;4;3;Tue;Weekday;34.16;33.73;1630.36;1.25;0.43;1.25;37.07;33.43
2014/02/05 02:00;187155.868545739740;195078.603330942770;5764;2014;2;Feb;2014/02/01;5;4;Wed;Weekday;32.47;33.84;-7922.73;-4.23;-1.37;-4.23;37.07;33.43
2014/02/06 02:00;102314.709596504040;101977.989955288560;3028;2014;2;Feb;2014/02/01;6;5;Thu;Weekday;33.79;33.68;336.72;0.33;0.11;0.33;37.07;33.38
2014/02/07 02:00;301553.842555086890;313529.187748715690;9284;2014;2;Feb;2014/02/01;7;6;Fri;Weekday;32.48;33.77;-11975.35;-3.97;-1.29;-3.97;37.07;33.30
2014/02/08 02:00;316073.177549394310;329754.779463582210;9737;2014;2;Feb;2014/02/01;8;7;Sat;Weekday;32.46;33.87;-13681.60;-4.33;-1.41;-4.33;37.07;33.25
2014/02/09 02:00;135178.042554582290;141530.708683291280;4163;2014;2;Feb;2014/02/01;9;1;Sun;Weekday;32.47;34.00;-6352.67;-4.70;-1.53;-4.70;37.07;33.19
2014/02/10 02:00;147727.516186313500;154828.684575076650;4552;2014;2;Feb;2014/02/01;10;2;Mon;Weekday;32.45;34.01;-7101.17;-4.81;-1.56;-4.81;37.07;33.13
2014/02/11 02:00;135498.746444386080;139824.161641012700;4172;2014;2;Feb;2014/02/01;11;3;Tue;Weekday;32.48;33.51;-4325.42;-3.19;-1.04;-3.19;37.07;33.08
2014/02/12 02:00;163432.845205282300;166893.368919005090;5037;2014;2;Feb;2014/02/01;12;4;Wed;Weekday;32.45;33.13;-3460.52;-2.12;-0.69;-2.12;37.07;32.98
2014/02/13 02:00;138291.633321586060;141027.434455681270;4259;2014;2;Feb;2014/02/01;13;5;Thu;Weekday;32.47;33.11;-2735.80;-1.98;-0.64;-1.98;37.07;32.90
2014/02/14 02:00;336901.371700099440;343519.875546946660;10381;2014;2;Feb;2014/02/01;14;6;Fri;Weekday;32.45;33.09;-6618.50;-1.96;-0.64;-1.96;37.07;32.83
2014/02/15 02:00;367729.268214412030;373973.593334852190;11332;2014;2;Feb;2014/02/01;15;7;Sat;Weekday;32.45;33.00;-6244.33;-1.70;-0.55;-1.70;37.07;32.76
2014/02/16 02:00;133913.841387391090;136797.077370152750;4127;2014;2;Feb;2014/02/01;16;1;Sun;Weekday;32.45;33.15;-2883.24;-2.15;-0.70;-2.15;37.07;32.69
2014/02/17 02:00;150800.347016662300;152887.106399480400;4649;2014;2;Feb;2014/02/01;17;2;Mon;Weekday;32.44;32.89;-2086.76;-1.38;-0.45;-1.38;37.07;32.61
2014/02/18 02:00;55591.930335773912;53463.244211993297;1627;2014;2;Feb;2014/02/01;18;3;Tue;Weekday;34.17;32.86;2128.69;3.83;1.31;3.83;37.07;32.53
2014/02/19 02:00;106427.191838824000;107736.444075958590;3281;2014;2;Feb;2014/02/01;19;4;Wed;Weekday;32.44;32.84;-1309.25;-1.23;-0.40;-1.23;37.07;32.50
2014/02/20 02:00;78940.554424797941;75934.394822039583;2310;2014;2;Feb;2014/02/01;20;5;Thu;Weekday;34.17;32.87;3006.16;3.81;1.30;3.81;37.07;32.43
2014/02/21 02:00;317916.317858534280;322089.788955441850;9802;2014;2;Feb;2014/02/01;21;6;Fri;Weekday;32.43;32.86;-4173.47;-1.31;-0.43;-1.31;37.07;32.41
2014/02/22 02:00;309217.875562526230;320116.924323277960;9772;2014;2;Feb;2014/02/01;22;7;Sat;Weekday;31.64;32.76;-10899.05;-3.52;-1.12;-3.52;37.07;32.35
2014/02/23 02:00;138491.549950462300;140752.601591667160;4270;2014;2;Feb;2014/02/01;23;1;Sun;Weekday;32.43;32.96;-2261.05;-1.63;-0.53;-1.63;37.07;32.34
2014/02/24 02:00;133146.222205236060;134505.404223794760;4106;2014;2;Feb;2014/02/01;24;2;Mon;Weekday;32.43;32.76;-1359.18;-1.02;-0.33;-1.02;37.07;32.34
2014/02/25 02:00;224994.656182892150;227546.446559600650;6937;2014;2;Feb;2014/02/01;25;3;Tue;Weekday;32.43;32.80;-2551.79;-1.13;-0.37;-1.13;37.07;32.34
2014/02/26 02:00;225051.591468032160;228214.142119431400;6934;2014;2;Feb;2014/02/01;26;4;Wed;Weekday;32.46;32.91;-3162.55;-1.41;-0.46;-1.41;37.07;32.35
2014/02/27 02:00;344299.682441130050;365935.652955926200;11082;2014;2;Feb;2014/02/01;27;5;Thu;Weekday;31.07;33.02;-21635.97;-6.28;-1.95;-6.28;37.07;32.35
2014/02/28 02:00;661876.499999649470;686656.790992170810;20805;2014;2;Feb;2014/02/01;28;6;Fri;Weekday;31.81;33.00;-24780.29;-3.74;-1.19;-3.74;37.07;32.35
2014/03/01 02:00;846678.388160804050;872081.585003521060;26410;2014;3;Mar;2014/03/01;1;7;Sat;Weekday;32.06;33.02;-25403.20;-3.00;-0.96;-3.00;37.07;32.35
